{'eta': 0.31337596886304525, 'gamma': 0.1637928851664353, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.8954057129275328, 'sampling_method': 'gradient_based', 'lambda': 0.7203885982029754, 'min_child_weight': 7, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.049579875, 'tree_no': 0}
{'eta': 0.47375430061896007, 'gamma': 0.49320060212365907, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.7725909309028328, 'sampling_method': 'gradient_based', 'lambda': 0.7557466308610475, 'min_child_weight': 5, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.049211124999999994, 'tree_no': 1}
{'eta': 0.1668889298973446, 'gamma': 0.40517684203914683, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.7128589551468316, 'sampling_method': 'gradient_based', 'lambda': 1.2107949750627758, 'min_child_weight': 4, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.048327125, 'tree_no': 2}
{'eta': 0.2837577230233455, 'gamma': 0.41505576884198697, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.944288679933181, 'sampling_method': 'gradient_based', 'lambda': 0.14354888279236044, 'min_child_weight': 3, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04884275, 'tree_no': 3}
{'eta': 0.15089379065666636, 'gamma': 0.12923205419038347, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.8624780674771757, 'sampling_method': 'gradient_based', 'lambda': 1.8245144811670588, 'min_child_weight': 5, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04876925, 'tree_no': 4}
{'eta': 0.16466826190125128, 'gamma': 0.14196838699418163, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.7829676544580515, 'sampling_method': 'gradient_based', 'lambda': 1.5907497826291959, 'min_child_weight': 7, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049579625, 'tree_no': 5}
{'eta': 0.013857364654850546, 'gamma': 0.13609482173905357, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.8290005990448496, 'sampling_method': 'gradient_based', 'lambda': 0.987207608644457, 'min_child_weight': 3, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.05613575, 'tree_no': 6}
{'eta': 0.46902934432832183, 'gamma': 0.47680778655387807, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.959001186316434, 'sampling_method': 'gradient_based', 'lambda': 2.9657167607423602, 'min_child_weight': 4, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04884287500000001, 'tree_no': 7}
{'eta': 0.2103728812240181, 'gamma': 0.4067313981786431, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.8746908916525389, 'sampling_method': 'gradient_based', 'lambda': 2.653357141345817, 'min_child_weight': 2, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.05024225, 'tree_no': 8}
{'eta': 0.3272418677904785, 'gamma': 0.398581379285903, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.6535799469289563, 'sampling_method': 'gradient_based', 'lambda': 1.587823101421038, 'min_child_weight': 7, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050168624999999994, 'tree_no': 9}
{'eta': 0.21077076598909406, 'gamma': 0.04241768971845278, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.633261911077274, 'sampling_method': 'gradient_based', 'lambda': 2.2198923461101345, 'min_child_weight': 3, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047590499999999994, 'tree_no': 10}
{'eta': 0.47203849573239914, 'gamma': 0.2152967141836138, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.8640914702768858, 'sampling_method': 'gradient_based', 'lambda': 0.9541505403167592, 'min_child_weight': 7, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049432375, 'tree_no': 11}
{'eta': 0.02681361749775346, 'gamma': 0.2353754487026355, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.8148801615471863, 'sampling_method': 'gradient_based', 'lambda': 0.0895481442932895, 'min_child_weight': 4, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.053262750000000005, 'tree_no': 12}
{'eta': 0.13112095130105744, 'gamma': 0.28681019756611, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.8846524286678306, 'sampling_method': 'gradient_based', 'lambda': 0.9068581555343326, 'min_child_weight': 3, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.05105275, 'tree_no': 13}
{'eta': 0.44146714626681577, 'gamma': 0.45165568473428414, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6022490419498947, 'sampling_method': 'gradient_based', 'lambda': 0.8795723368510848, 'min_child_weight': 4, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049064125, 'tree_no': 14}
{'eta': 0.14295855509465355, 'gamma': 0.38075199205945015, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.8322821585827732, 'sampling_method': 'gradient_based', 'lambda': 2.8722864254099156, 'min_child_weight': 4, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.051863124999999996, 'tree_no': 15}
{'eta': 0.1431370073530429, 'gamma': 0.11003804455911048, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.8218700445179039, 'sampling_method': 'gradient_based', 'lambda': 2.0454669463021866, 'min_child_weight': 6, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.0509055, 'tree_no': 16}
{'eta': 0.21010500931040932, 'gamma': 0.43649953747485004, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.6085921696588261, 'sampling_method': 'gradient_based', 'lambda': 2.438347493722352, 'min_child_weight': 5, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049063625, 'tree_no': 17}
{'eta': 0.24460296245575985, 'gamma': 0.03177841093478739, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.7895037741520223, 'sampling_method': 'gradient_based', 'lambda': 0.9385803917395422, 'min_child_weight': 6, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.04972675, 'tree_no': 18}
{'eta': 0.24896663554207388, 'gamma': 0.44962009677404685, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.7849526856619993, 'sampling_method': 'gradient_based', 'lambda': 0.7971158897202191, 'min_child_weight': 6, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050242499999999995, 'tree_no': 19}
{'eta': 0.44846741950792307, 'gamma': 0.24074244920507898, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.7864629083965711, 'sampling_method': 'gradient_based', 'lambda': 2.85581521145952, 'min_child_weight': 7, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048327, 'tree_no': 20}
{'eta': 0.47749518594015816, 'gamma': 0.3904858145660334, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.8423601999128956, 'sampling_method': 'gradient_based', 'lambda': 2.9228856414067765, 'min_child_weight': 7, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048695375, 'tree_no': 21}
{'eta': 0.1268193735827028, 'gamma': 0.2909589938585985, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9668049951242838, 'sampling_method': 'gradient_based', 'lambda': 2.0309899180086566, 'min_child_weight': 7, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049284625, 'tree_no': 22}
{'eta': 0.22386552727841297, 'gamma': 0.3897275986982191, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.635305857279819, 'sampling_method': 'gradient_based', 'lambda': 2.8470023123103934, 'min_child_weight': 7, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049358374999999996, 'tree_no': 23}
{'eta': 0.09096940674207654, 'gamma': 0.1669574675328538, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.9890761820060242, 'sampling_method': 'gradient_based', 'lambda': 2.8232248452272164, 'min_child_weight': 7, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.050758125, 'tree_no': 24}
{'eta': 0.39137404873097587, 'gamma': 0.15041894592015276, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.8732586429468334, 'sampling_method': 'gradient_based', 'lambda': 0.39427195180812113, 'min_child_weight': 7, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049285, 'tree_no': 25}
{'eta': 0.009545321598473766, 'gamma': 0.4492677112058558, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.6358189482011964, 'sampling_method': 'gradient_based', 'lambda': 0.25551113958604377, 'min_child_weight': 7, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.05871475, 'tree_no': 26}
{'eta': 0.3572813262273681, 'gamma': 0.031955165183545686, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.84358318841137, 'sampling_method': 'gradient_based', 'lambda': 2.322482647745362, 'min_child_weight': 2, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.048842875, 'tree_no': 27}
{'eta': 0.4935528962462624, 'gamma': 0.3188086571621547, 'eval_metric': 'error@0.5', 'max_depth': 12, 'subsample': 0.8978603692883058, 'sampling_method': 'gradient_based', 'lambda': 2.7570118294446706, 'min_child_weight': 6, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'loss': -0.049653, 'tree_no': 28}
