{'eta': 0.012887819121178257, 'gamma': 0.13111347745117452, 'eval_metric': 'error@0.5', 'max_depth': 9, 'subsample': 0.6332845450560671, 'sampling_method': 'gradient_based', 'lambda': 2.4983686538469367, 'min_child_weight': 7, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.057749, 'tree_no': 0}
{'eta': 0.29491184561338996, 'gamma': 0.2683272206259452, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.6970749653085098, 'sampling_method': 'gradient_based', 'lambda': 1.1994820643031014, 'min_child_weight': 9, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045963, 'tree_no': 1}
{'eta': 0.25596754284603274, 'gamma': 0.2123080331577209, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.6985886705832437, 'sampling_method': 'gradient_based', 'lambda': 0.5240106074230998, 'min_child_weight': 9, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.042722, 'tree_no': 2}
{'eta': 0.48219593714818004, 'gamma': 0.33611692824802003, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.9847419134581727, 'sampling_method': 'gradient_based', 'lambda': 0.6879936669928255, 'min_child_weight': 8, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047731, 'tree_no': 3}
{'eta': 0.1756215980939006, 'gamma': 0.10294300098145825, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.7333432967566647, 'sampling_method': 'gradient_based', 'lambda': 0.5673423035002133, 'min_child_weight': 5, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045669, 'tree_no': 4}
{'eta': 0.25561384127281134, 'gamma': 0.4797283175795068, 'eval_metric': 'error@0.5', 'max_depth': 9, 'subsample': 0.9476829684466732, 'sampling_method': 'gradient_based', 'lambda': 0.0007264167468669092, 'min_child_weight': 7, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.045669, 'tree_no': 5}
{'eta': 0.48627955576880616, 'gamma': 0.19888600354546876, 'eval_metric': 'error@0.5', 'max_depth': 5, 'subsample': 0.6144540194021647, 'sampling_method': 'gradient_based', 'lambda': 2.5741317954098024, 'min_child_weight': 1, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043901, 'tree_no': 6}
{'eta': 0.41193376805155496, 'gamma': 0.2586455152060685, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.8894443562100776, 'sampling_method': 'gradient_based', 'lambda': 1.740130679688859, 'min_child_weight': 2, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047437, 'tree_no': 7}
{'eta': 0.3704707204414175, 'gamma': 0.40317282507298613, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.9196683182979006, 'sampling_method': 'gradient_based', 'lambda': 2.32046844587341, 'min_child_weight': 9, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044785, 'tree_no': 8}
{'eta': 0.4012987005137801, 'gamma': 0.4855020300204124, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.9765379834571157, 'sampling_method': 'gradient_based', 'lambda': 1.5009301420788634, 'min_child_weight': 2, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044196, 'tree_no': 9}
{'eta': 0.14973409216766237, 'gamma': 0.4422257948294455, 'eval_metric': 'error@0.5', 'max_depth': 9, 'subsample': 0.6182849975333774, 'sampling_method': 'gradient_based', 'lambda': 2.774042921566146, 'min_child_weight': 7, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044785, 'tree_no': 10}
{'eta': 0.4652375476600854, 'gamma': 0.20697600222971047, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.6794091198254669, 'sampling_method': 'gradient_based', 'lambda': 1.4364105475166373, 'min_child_weight': 1, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043312, 'tree_no': 11}
{'eta': 0.39268989466008447, 'gamma': 0.4170696979027962, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.9048874863508757, 'sampling_method': 'gradient_based', 'lambda': 1.114506945028002, 'min_child_weight': 6, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044785, 'tree_no': 12}
{'eta': 0.3686772971877152, 'gamma': 0.25007768902801286, 'eval_metric': 'error@0.5', 'max_depth': 10, 'subsample': 0.8235505082262922, 'sampling_method': 'gradient_based', 'lambda': 0.9883485694107047, 'min_child_weight': 5, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044785, 'tree_no': 13}
{'eta': 0.027349653354911185, 'gamma': 0.24553340015001301, 'eval_metric': 'error@0.5', 'max_depth': 11, 'subsample': 0.7428431048489726, 'sampling_method': 'gradient_based', 'lambda': 0.3653431465689807, 'min_child_weight': 9, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.05657, 'tree_no': 14}
{'eta': 0.47160393032501297, 'gamma': 0.25428097661957305, 'eval_metric': 'error@0.5', 'max_depth': 4, 'subsample': 0.6295330739505972, 'sampling_method': 'gradient_based', 'lambda': 1.5823076881162796, 'min_child_weight': 9, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 15}
{'eta': 0.4931591348404733, 'gamma': 0.48713842120727463, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.9034893996613861, 'sampling_method': 'gradient_based', 'lambda': 2.0591710990706127, 'min_child_weight': 8, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.043901, 'tree_no': 16}
{'eta': 0.34417276046093376, 'gamma': 0.1382927495739581, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.8160708209777927, 'sampling_method': 'gradient_based', 'lambda': 0.5285878122998493, 'min_child_weight': 3, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.044785, 'tree_no': 17}
{'eta': 0.2412413972737497, 'gamma': 0.26402613785568757, 'eval_metric': 'error@0.5', 'max_depth': 8, 'subsample': 0.6018875486092252, 'sampling_method': 'gradient_based', 'lambda': 0.7742855558230242, 'min_child_weight': 3, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 18}
{'eta': 0.36303419161962536, 'gamma': 0.3896860397474811, 'eval_metric': 'error@0.5', 'max_depth': 7, 'subsample': 0.7649244339217169, 'sampling_method': 'gradient_based', 'lambda': 2.8848275906056697, 'min_child_weight': 1, 'num_parallel_tree': 14, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.042722, 'tree_no': 19}
{'eta': 0.2401505880787838, 'gamma': 0.17643195323143418, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.7263651981606298, 'sampling_method': 'gradient_based', 'lambda': 0.021670416112698043, 'min_child_weight': 7, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.04449, 'tree_no': 20}
{'eta': 0.015303002652456155, 'gamma': 0.2731368496629534, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.8730441996234035, 'sampling_method': 'gradient_based', 'lambda': 0.10693692096716145, 'min_child_weight': 7, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.062169, 'tree_no': 21}
{'eta': 0.09573626011533981, 'gamma': 0.12633732693251865, 'eval_metric': 'error@0.5', 'max_depth': 6, 'subsample': 0.7122047964933365, 'sampling_method': 'gradient_based', 'lambda': 2.5314033259392996, 'min_child_weight': 7, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047437, 'tree_no': 22}
{'eta': 0.2242659098121682, 'gamma': 0.1504307601268211, 'eval_metric': 'error@0.5', 'max_depth': 3, 'subsample': 0.6465541125447393, 'sampling_method': 'gradient_based', 'lambda': 1.4274321965856953, 'min_child_weight': 6, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'validate_parameters': 1, 'loss': -0.047142, 'tree_no': 23}
