{'n_estimators': 500, 'learning_rate': 0.14742725833212655, 'gamma': 0.09672416136205697, 'max_depth': 3, 'subsample': 0.6545365913553864, 'sampling_method': 'gradient_based', 'reg_lambda': 0.4520812274422821, 'min_child_weight': 5, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9746031746031746, 'tree_no': 0}
{'n_estimators': 500, 'learning_rate': 0.15184001276531264, 'gamma': 0.6006248473324637, 'max_depth': 4, 'subsample': 0.8421896234528538, 'sampling_method': 'gradient_based', 'reg_lambda': 0.5779682228819605, 'min_child_weight': 4, 'num_parallel_tree': 15, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9737258626147516, 'tree_no': 1}
{'n_estimators': 500, 'learning_rate': 0.1599746792909669, 'gamma': 0.3961937665807931, 'max_depth': 10, 'subsample': 0.8541887286095329, 'sampling_method': 'gradient_based', 'reg_lambda': 0.7133832103285644, 'min_child_weight': 2, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9769071508201943, 'tree_no': 2}
{'n_estimators': 500, 'learning_rate': 0.14266313815898246, 'gamma': 0.9527292725304702, 'max_depth': 9, 'subsample': 0.8441402903101494, 'sampling_method': 'gradient_based', 'reg_lambda': 0.5631847273202362, 'min_child_weight': 6, 'num_parallel_tree': 17, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9767219387755103, 'tree_no': 3}
{'n_estimators': 500, 'learning_rate': 0.16254985660992716, 'gamma': 0.058335742976513894, 'max_depth': 7, 'subsample': 0.6345041158021812, 'sampling_method': 'gradient_based', 'reg_lambda': 1.627858353774459, 'min_child_weight': 3, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9760918074593561, 'tree_no': 4}
{'n_estimators': 500, 'learning_rate': 0.2530990457433615, 'gamma': 0.14885582641091832, 'max_depth': 9, 'subsample': 0.8591705045466981, 'sampling_method': 'gradient_based', 'reg_lambda': 0.6986402430715801, 'min_child_weight': 4, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.976936535708605, 'tree_no': 5}
{'n_estimators': 500, 'learning_rate': 0.10424738697239166, 'gamma': 0.9914479444843043, 'max_depth': 7, 'subsample': 0.8567088108790399, 'sampling_method': 'gradient_based', 'reg_lambda': 1.2445485598425587, 'min_child_weight': 6, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9739268680445151, 'tree_no': 6}
{'n_estimators': 500, 'learning_rate': 0.29333363842216303, 'gamma': 0.7161283632974017, 'max_depth': 5, 'subsample': 0.7110600202464914, 'sampling_method': 'gradient_based', 'reg_lambda': 0.5293999081126617, 'min_child_weight': 3, 'num_parallel_tree': 9, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.975027835215524, 'tree_no': 7}
{'n_estimators': 500, 'learning_rate': 0.10963907382890872, 'gamma': 0.1791916598346298, 'max_depth': 5, 'subsample': 0.9549255737118009, 'sampling_method': 'gradient_based', 'reg_lambda': 0.15011982192394413, 'min_child_weight': 6, 'num_parallel_tree': 16, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9753537923358245, 'tree_no': 8}
{'n_estimators': 500, 'learning_rate': 0.25560992698710516, 'gamma': 0.7828085235427458, 'max_depth': 5, 'subsample': 0.9653083506563399, 'sampling_method': 'gradient_based', 'reg_lambda': 1.5324784245600356, 'min_child_weight': 3, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9758576874205845, 'tree_no': 9}
{'n_estimators': 500, 'learning_rate': 0.15239810442057064, 'gamma': 0.5445201976548604, 'max_depth': 8, 'subsample': 0.7850060082167403, 'sampling_method': 'gradient_based', 'reg_lambda': 0.9547772402875856, 'min_child_weight': 7, 'num_parallel_tree': 11, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9747257987601335, 'tree_no': 10}
{'n_estimators': 500, 'learning_rate': 0.24121193915666028, 'gamma': 0.21601608031128683, 'max_depth': 11, 'subsample': 0.7309476619886385, 'sampling_method': 'gradient_based', 'reg_lambda': 0.8281593137454077, 'min_child_weight': 3, 'num_parallel_tree': 13, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9759055369395245, 'tree_no': 11}
{'n_estimators': 500, 'learning_rate': 0.08436147126437542, 'gamma': 0.07894611654091754, 'max_depth': 7, 'subsample': 0.9213288879856139, 'sampling_method': 'gradient_based', 'reg_lambda': 0.8124345611546222, 'min_child_weight': 6, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9759362549800797, 'tree_no': 12}
{'n_estimators': 500, 'learning_rate': 0.29382546787600494, 'gamma': 0.044768800554913724, 'max_depth': 11, 'subsample': 0.8543854833829867, 'sampling_method': 'gradient_based', 'reg_lambda': 0.20188074284616375, 'min_child_weight': 2, 'num_parallel_tree': 12, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9765288200542872, 'tree_no': 13}
{'n_estimators': 500, 'learning_rate': 0.2597740220745042, 'gamma': 0.29967273438348707, 'max_depth': 4, 'subsample': 0.8742071840501326, 'sampling_method': 'gradient_based', 'reg_lambda': 0.06114759362135391, 'min_child_weight': 4, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9745385105028644, 'tree_no': 14}
{'n_estimators': 500, 'learning_rate': 0.08718360566921798, 'gamma': 0.9505944045685116, 'max_depth': 4, 'subsample': 0.6322739886039245, 'sampling_method': 'gradient_based', 'reg_lambda': 1.6213229357551129, 'min_child_weight': 4, 'num_parallel_tree': 7, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9746855596242636, 'tree_no': 15}
{'n_estimators': 500, 'learning_rate': 0.19095175976058879, 'gamma': 0.17978684255916277, 'max_depth': 8, 'subsample': 0.6409357486572088, 'sampling_method': 'gradient_based', 'reg_lambda': 1.8312061401218795, 'min_child_weight': 7, 'num_parallel_tree': 8, 'objective': 'binary:logistic', 'verbosity': 1, 'max_delta_step ': 1, 'f1': 0.9750039802579208, 'tree_no': 16}
